Modelo,Tratamiento,Normal,Loss,Loss1,Loss2,Percentil,Accuracy,F1-Score,Precision,AUC-ROC,Recall
Model2,ELIMINACION,ROBUST,mae,MSE,MSE,99.9,0.9945635759589248,0.9451219512195123,0.9872611464968153,0.9528979029314263,0.9064327485380117
Model3,ELIMINACION,ROBUST,mae,MSE,MSE,99.9,0.9953186348535186,0.9529590288315629,0.9905362776025236,0.9588254739821954,0.9181286549707602
Model4,ELIMINACION,ROBUST,mae,MSE,MSE,99.9,0.9986408939897312,0.9867452135493374,0.9940652818991098,0.9896068462025551,0.97953216374269
Model1,ELIMINACION,ROBUST,mae,MSE,MSE,99.5,0.9936575052854123,0.9391304347826087,0.9310344827586207,0.971773382500838,0.9473684210526315
Model2,ELIMINACION,ROBUST,mae,MSE,MSE,99.5,0.9953186348535186,0.9540740740740741,0.9669669669669669,0.9698844377397847,0.9415204678362573
Model3,ELIMINACION,ROBUST,mae,MSE,MSE,99.5,0.9962247055270311,0.9635036496350365,0.9620991253644315,0.9814211085037433,0.9649122807017544
Model4,ELIMINACION,ROBUST,mae,MSE,MSE,99.5,0.9986408939897312,0.9870129870129869,0.9743589743589743,0.9992834394904458,1.0
Model1,ELIMINACION,ROBUST,mae,MSE,MSE,99,0.9915433403805497,0.9215686274509804,0.8844086021505376,0.9775705851678027,0.9619883040935673
Model2,ELIMINACION,ROBUST,mae,MSE,MSE,99,0.9939595288432498,0.9436619718309859,0.9103260869565217,0.987138693336313,0.97953216374269
Model3,ELIMINACION,ROBUST,mae,MSE,MSE,99,0.9927514346118997,0.9327731092436974,0.8951612903225806,0.9837370097217567,0.9736842105263158
Model4,ELIMINACION,ROBUST,mae,MSE,MSE,99,0.995620658411356,0.9593267882187939,0.921832884097035,0.9976910828025477,1.0
Model1,LIMITACION,STANDARD,mse,MAE,MAE,99.9,0.9910903050437934,0.9073783359497646,0.9796610169491525,0.9220369128766716,0.8450292397660819
Model2,LIMITACION,STANDARD,mse,MAE,MAE,99.9,0.9948655995167623,0.9480122324159022,0.9935897435897436,0.9530571386002159,0.9064327485380117
Model3,LIMITACION,STANDARD,mse,MAE,MAE,99.9,0.9957716701902748,0.9579579579579579,0.9845679012345679,0.9659761798338733,0.9327485380116959
Model4,LIMITACION,STANDARD,mse,MAE,MAE,99.9,0.9966777408637874,0.9673590504451038,0.9819277108433735,0.9761304801281335,0.9532163742690059
Model1,LIMITACION,STANDARD,mse,MAE,MAE,99.5,0.9927514346118997,0.9289940828402367,0.9401197604790419,0.957471970797482,0.9181286549707602
Model2,LIMITACION,STANDARD,mse,MAE,MAE,99.5,0.9951676230745998,0.9522388059701492,0.9725609756097561,0.9656577084962937,0.9327485380116959
Model3,LIMITACION,STANDARD,mse,MAE,MAE,99.5,0.9942615524010873,0.9449275362318841,0.9367816091954023,0.9748565947778149,0.9532163742690059
Model4,LIMITACION,STANDARD,mse,MAE,MAE,99.5,0.994412564180006,0.9470672389127325,0.927170868347339,0.9818480649607031,0.9678362573099415
Model1,LIMITACION,STANDARD,mse,MAE,MAE,99,0.9924494110540623,0.9283667621776504,0.9101123595505618,0.9711364398256788,0.9473684210526315
Model2,LIMITACION,STANDARD,mse,MAE,MAE,99,0.9951676230745998,0.9522388059701492,0.9725609756097561,0.9656577084962937,0.9327485380116959
Model3,LIMITACION,STANDARD,mse,MAE,MAE,99,0.9910903050437934,0.9174825174825175,0.8793565683646113,0.9759493611949194,0.9590643274853801
Model4,LIMITACION,STANDARD,mse,MAE,MAE,99,0.991392328601631,0.9211618257261411,0.8740157480314961,0.9830204492122026,0.9736842105263158
Model1,LIMITACION,STANDARD,mse,MSE,MSE,99.9,0.9919963757173059,0.9175738724727838,0.9800664451827242,0.9308088427012329,0.8625730994152047
Model2,LIMITACION,STANDARD,mse,MSE,MSE,99.9,0.9950166112956811,0.9493087557603688,1.0,0.9517543859649122,0.9035087719298246
Model3,LIMITACION,STANDARD,mse,MSE,MSE,99.9,0.9968287526427061,0.9686098654708519,0.9908256880733946,0.973445357023131,0.9473684210526315
Model4,LIMITACION,STANDARD,mse,MSE,MSE,99.9,0.9962247055270311,0.962178517397882,0.9968652037617555,0.9648326628673594,0.9298245614035088
Model1,LIMITACION,STANDARD,mse,MSE,MSE,99.5,0.9903352461491997,0.9056047197640119,0.9136904761904762,0.946521492159273,0.8976608187134503
Model2,LIMITACION,STANDARD,mse,MSE,MSE,99.5,0.9950166112956811,0.9493087557603688,1.0,0.9517543859649122,0.9035087719298246
Model3,LIMITACION,STANDARD,mse,MSE,MSE,99.5,0.9953186348535186,0.9553956834532374,0.9405099150141643,0.9837081424367713,0.9707602339181286
Model4,LIMITACION,STANDARD,mse,MSE,MSE,99.5,0.995620658411356,0.9574155653450808,0.9616519174041298,0.9755731552873692,0.9532163742690059
Model1,LIMITACION,STANDARD,mse,MSE,MSE,99,0.986408939897312,0.8735955056179776,0.8405405405405405,0.9499809103438002,0.9093567251461988
Model2,LIMITACION,STANDARD,mse,MSE,MSE,99,0.9950166112956811,0.9493087557603688,1.0,0.9517543859649122,0.9035087719298246
Model3,LIMITACION,STANDARD,mse,MSE,MSE,99,0.9930534581697372,0.9357541899441341,0.8957219251336899,0.9866609863299437,0.97953216374269
Model4,LIMITACION,STANDARD,mse,MSE,MSE,99,0.9930534581697372,0.9353932584269663,0.9,0.9838962453905464,0.9736842105263158
Model1,LIMITACION,STANDARD,mae,MAE,MAE,99.9,0.9889761401389309,0.8828250401284108,0.9786476868327402,0.9015690766193615,0.804093567251462
Model2,LIMITACION,STANDARD,mae,MAE,MAE,99.9,0.9939595288432498,0.937888198757764,1.0,0.9415204678362573,0.8830409356725146
Model3,LIMITACION,STANDARD,mae,MAE,MAE,99.9,0.9894291754756871,0.8881789137380192,0.9788732394366197,0.9059550415316422,0.8128654970760234
Model4,LIMITACION,STANDARD,mae,MAE,MAE,99.9,0.994412564180006,0.9429892141756547,0.996742671009772,0.9472888032182367,0.8947368421052632
Model1,LIMITACION,STANDARD,mae,MAE,MAE,99.5,0.9903352461491997,0.9053254437869822,0.9161676646706587,0.9451391216895744,0.8947368421052632
Model2,LIMITACION,STANDARD,mae,MAE,MAE,99.5,0.9939595288432498,0.937888198757764,1.0,0.9415204678362573,0.8830409356725146
Model3,LIMITACION,STANDARD,mae,MAE,MAE,99.5,0.9868619752340683,0.8687782805429863,0.897196261682243,0.9184252430439155,0.8421052631578947
Model4,LIMITACION,STANDARD,mae,MAE,MAE,99.5,0.9951676230745998,0.9526627218934911,0.9640718562874252,0.9698048199053899,0.9415204678362573
Model1,LIMITACION,STANDARD,mae,MAE,MAE,99,0.9879190576864996,0.8885793871866295,0.848404255319149,0.9618360524453383,0.9327485380116959
Model2,LIMITACION,STANDARD,mae,MAE,MAE,99,0.9939595288432498,0.937888198757764,1.0,0.9415204678362573,0.8830409356725146
Model3,LIMITACION,STANDARD,mae,MAE,MAE,99,0.9830866807610994,0.8409090909090909,0.8176795580110497,0.927493760941632,0.8654970760233918
